Name,Category,Price,Amount,Sale,Description
Apple MacBook Pro,Laptop,2800,6,FALSE,"The Apple M1 chip gives the 13?inch MacBook Pro speed and power beyond belief. With up to 2.8x CPU performance. Up to 5x the graphics speed. An advanced Neural Engine for up to 11x faster machine learning. And up to 20 hours of battery life so you can go all day. It?s our most popular pro notebook, taken to a whole new level."
Asus ZenBook S,Laptop,1900,7,TRUE,"Zenbook is compact, thin and light, with the best innovative laptop technology, NanoEdge displays, precision craftsmanship, and uncompromising performance."
Asus ZenBook Pro,Laptop,2300,7,FALSE,"Zenbook is compact, thin and light, with the best innovative laptop technology, NanoEdge displays, precision craftsmanship, and uncompromising performance."
Dell XPS 13,Laptop,2000,0,TRUE,"Compact 13-inch laptop: Your entertainment can go with you everywhere?starting at just 2.6 pounds, the small and thin XPS 13 is conveniently designed to be ready to go when you are."
Dell XPS 15,Laptop,2600,10,FALSE,Every XPS 15 badged with Creator Edition is fully equipped with the creative tool you need to make magic happen faster and better?so that your art can be pushed to the edge.
Lenovo ThinkPad L15,Laptop,1800,30,TRUE,"ThinkPad L15 laptops are tested against 12 military-grade requirements and more than 200 quality checks to ensure they run in extreme conditions. From the Arctic wilderness to desert dust storms, from zero-gravity to spills and drops, you can trust these laptops to handle whatever life throws your way"
Thinkpad T15,Laptop,2000,2,TRUE,"ThinkPad laptops are tested against military-grade requirements and more than 200 quality checks to ensure they run in extreme conditions. From the Arctic wilderness to desert dust storms, from zero-gravity to spills and drops, you can trust these laptops to handle whatever life throws your way"
Apple iPad Air,Tablet,1300,5,FALSE,"iPad Air lets you immerse yourself in whatever you?re reading, watching or creating. The 10.9-inch Liquid Retina display features advanced technologies like True Tone, P3 wide colour and an antireflective coating.1"
Samsung Galaxy Tab S,Tablet,1500,0,FALSE,"An immersive screen, upgraded performance and ultra-fast S Pen included. Just some of the power-ups Galaxy Tab S8 series brings to your world."
Apple iPhone 13,Phone,1000,8,TRUE,"A15 Bionic and the TrueDepth camera also power Face ID, the most secure facial authentication in a smartphone"
Apple iPhone 13 Pro,Phone,1800,14,FALSE,"A dramatically more powerful camera system. A display so responsive, every interaction feels new again. The world?s fastest smartphone chip. Exceptional durability. And a huge leap in battery life."
Google Pixel 6,Phone,1200,0,FALSE,The Best Andriod Phone Ever!
